YEAR,incgroup,ln_RLABINC,Year,log_div_t,y_gt,dy_gt,t_index
1980,Top10,11.228668387707524,1980,3.1432898379116057,8.085378549795918,-0.03309205531432369,4
1981,Top10,11.22361128857737,1981,3.1315734964654043,8.092037792111967,0.006659242316048974,5
1982,Top10,11.181182229076184,1982,3.1293886583666644,8.051793570709519,-0.04024422140244788,6
1983,Top10,11.288355145546994,1983,3.123685637864452,8.164669507682543,0.11287593697302434,7
1984,Top10,11.280059877295171,1984,3.145444546782318,8.134615330512853,-0.030054177169690277,8
1985,Top10,11.262927667702597,1985,3.1561489949598958,8.106778672742701,-0.027836657770151874,9
1986,Top10,11.315096290267867,1986,3.1921210875593813,8.122975202708485,0.016196529965784023,10
1987,Top10,11.311105635513924,1987,3.2108436531709366,8.100261982342987,-0.022713220365497833,11
1988,Top10,11.301456122935084,1988,3.26880819361641,8.032647929318674,-0.06761405302431278,12
1989,Top10,11.363837882923267,1989,3.3488509012899463,8.01498698163332,-0.017660947685353534,13
1990,Top10,11.359589434915092,1990,3.3789517727148355,7.980637662200257,-0.03434931943306374,14
1991,Top10,11.31734281992454,1991,3.358289880650879,7.959052939273661,-0.021584722926595745,15
1992,Top10,11.33889507198513,1992,3.3446270301737613,7.9942680418113685,0.03521510253770721,16
1993,Top10,11.3276369902012,1993,3.332918540908861,7.994718449292338,0.0004504074809696945,17
1994,Top10,11.346768828368328,1994,3.3523572162426816,7.994411612125646,-0.0003068371666925529,18
1995,Top10,11.351870323072358,1995,3.37314078387963,7.978729539192728,-0.015682072932917457,19
1996,Top10,11.349601320385494,1996,3.418054498728578,7.931546821656916,-0.04718271753581238,20
1997,Top10,11.385528066322172,1997,3.440738556282688,7.944789510039484,0.013242688382567813,21
1998,Top10,11.416740971498765,1998,3.4685444551217657,7.948196516376999,0.0034070063375155613,22
1999,Top10,11.51919066054685,1999,3.4722769633431074,8.046913697203742,0.09871718082674263,23
2000,Top10,11.554831705795214,2000,3.4134552790576573,8.141376426737557,0.09446272953381474,24
2001,Top10,11.606085548971588,2001,3.3648791189880436,8.241206429983546,0.09983000324598912,25
2002,Top10,11.621647760260585,2002,3.3624565533457247,8.25919120691486,0.017984776931314173,26
2003,Top10,11.509617859362722,2003,3.4223063448723905,8.087311514490331,-0.17187969242452894,27
2004,Top10,11.52651114495435,2004,3.5019472847622986,8.024563860192051,-0.06274765429827944,28
2005,Top10,11.489046392590938,2005,3.6019589820832345,7.887087410507704,-0.1374764496843479,29
2006,Top10,11.497461472773075,2006,3.6901286735143684,7.807332799258707,-0.07975461124899663,30
2007,Top10,11.52334483975882,2007,3.7584055167625467,7.764939322996273,-0.042393476262433616,31
2008,Top10,11.50310964743317,2008,3.781002742989742,7.722106904443429,-0.04283241855284459,32
2009,Top10,11.599477180090112,2009,3.517497837358316,8.081979342731795,0.3598724382883667,33
2010,Top10,11.59210520172215,2010,3.516904189374126,8.075201012348025,-0.0067783303837707365,34
2011,Top10,11.494982793370212,2011,3.638375321940168,7.856607471430044,-0.2185935409179809,35
2012,Top10,11.559675002558924,2012,3.7887247890836524,7.770950213475272,-0.08565725795477164,36
2013,Top10,11.54363426249498,2013,3.887115369721961,7.656518892773018,-0.11443132070225381,37
2014,Top10,11.518001640390768,2014,3.9993010135352067,7.518700626855561,-0.13781826591745716,38
2015,Top10,11.544424680727646,2015,4.0873199472851365,7.45710473344251,-0.061595893413051606,39
2016,Top10,11.569729202517184,2016,4.118711918670395,7.451017283846789,-0.0060874495957206065,40
2017,Top10,11.59509975272828,2017,4.1661999993225285,7.428899753405752,-0.022117530441036592,41
2018,Top10,11.592684643538975,2018,4.241182857326236,7.351501786212739,-0.07739796719301317,42
2019,Top10,11.634901644766956,2019,4.298780886070615,7.336120758696341,-0.015381027516398582,43
2020,Top10,11.630664921230771,2020,4.2859286446285445,7.344736276602227,0.008615517905885994,44
2021,Top10,11.628049774465152,2021,4.253624919869357,7.374424854595795,0.02968857799356872,45
2022,Top10,11.595434720446024,2022,4.2937417198063095,7.301693000639714,-0.07273185395608106,46
2023,Top10,11.61835643924533,2023,4.30999343177405,7.30836300747128,0.006670006831566155,47
2024,Top10,11.6560694857546,2024,4.343935283551159,7.312134202203441,0.0037711947321605876,48
