YEAR,incgroup,ln_RLABINC,log_div_t,y_gt,dy_gt,t_index
2015,Group1,9.16301681193307,1.2165216211685692,7.946495190764502,-0.0014299721821595668,39
2016,Group1,9.192940676926028,1.2303730093728262,7.962567667553202,0.016072476788700385,40
2017,Group1,9.208906673530526,1.2339158220643678,7.974990851466158,0.012423183912956048,41
2018,Group1,9.256861155067911,1.2346616536316373,8.022199501436274,0.04720864997011631,42
2019,Group1,9.251216179668242,1.2421184175988096,8.009097762069432,-0.013101739366842224,43
2020,Group1,9.269152824272808,1.2545785822752078,8.0145742419976,0.005476479928168132,44
2021,Group1,9.31474062244308,1.2287628673245719,8.08597775511851,0.07140351312090942,45
2022,Group1,9.307524504317412,1.1748738079692054,8.132650696348206,0.04667294122969601,46
2023,Group1,9.282327419838266,1.1583124075511855,8.12401501228708,-0.008635684061125914,47
2024,Group1,9.298097389826763,1.1504155426346838,8.147681847192079,0.02366683490499888,48
1976,Group2,9.93843193701313,1.4212370746354555,8.517194862377675,,0
1977,Group2,9.953715361507538,1.4053358662308209,8.548379495276716,0.031184632899041276,1
1978,Group2,9.93746858253909,1.3837051287150068,8.553763453824082,0.005383958547366063,2
1979,Group2,9.900278924899393,1.3309802715109509,8.569298653388442,0.015535199564359559,3
1980,Group2,9.85733632253858,1.25467755327468,8.6026587692639,0.03336011587545862,4
1981,Group2,9.8471168542093,1.2069414761214812,8.64017537808782,0.037516608823919384,5
1982,Group2,9.829573582856163,1.204709191447922,8.624864391408241,-0.01531098667957842,6
1983,Group2,9.841152017070726,1.21744439668358,8.623707620387146,-0.0011567710210957927,7
1984,Group2,9.865317278646966,1.2223164776253483,8.643000801021618,0.01929318063447205,8
1985,Group2,9.884177275454489,1.2301418082165847,8.654035467237904,0.011034666216286126,9
1986,Group2,9.908220990870992,1.2488721789288717,8.65934881194212,0.005313344704216405,10
1987,Group2,9.903516502013554,1.2475973177244526,8.655919184289102,-0.0034296276530181302,11
1988,Group2,9.879328507882644,1.2513135123982402,8.628014995484403,-0.02790418880469936,12
1989,Group2,9.89317407456638,1.242204190431449,8.65096988413493,0.02295488865052775,13
1990,Group2,9.87482637132772,1.228032708537962,8.646793662789758,-0.004176221345172593,14
1991,Group2,9.876310855093,1.2197818318507236,8.656529023242275,0.009735360452516773,15
1992,Group2,9.865671385427529,1.2201386325999983,8.645532752827531,-0.010996270414743492,16
1993,Group2,9.878264491057568,1.2195122696693004,8.658752221388268,0.013219468560736303,17
1994,Group2,9.86562486595242,1.222838575736288,8.642786290216131,-0.015965931172136294,18
1995,Group2,9.862063388710355,1.2225242361934225,8.639539152516933,-0.003247137699197822,19
1996,Group2,9.851662387651324,1.2170842674658826,8.634578120185441,-0.004961032331491921,20
1997,Group2,9.87483464728913,1.2134048492314777,8.661429798057654,0.02685167787221232,21
1998,Group2,9.920536135537567,1.2148068613909997,8.705729274146567,0.044299476088912826,22
1999,Group2,9.963371038418463,1.209194232960751,8.754176805457712,0.04844753131114565,23
2000,Group2,9.94972472847708,1.1912058542399875,8.758518874237092,0.004342068779379815,24
2001,Group2,9.963515949530898,1.179389015885697,8.7841269336452,0.02560805940810873,25
2002,Group2,9.9851895841814,1.1824217119160807,8.802767872265319,0.018640938620118064,26
2003,Group2,9.98144334286293,1.1812101589056503,8.80023318395728,-0.002534688308038824,27
2004,Group2,9.959023623426694,1.1750403774200744,8.783983246006619,-0.01624993795066132,28
2005,Group2,9.947597951981647,1.1625476249962878,8.78505032698536,0.0010670809787409752,29
2006,Group2,9.961832345905403,1.1522893537193124,8.80954299218609,0.024492665200730457,30
2007,Group2,9.972954215748052,1.1457453087669454,8.827208906981106,0.01766591479501578,31
2008,Group2,9.94761216154349,1.1349124980441936,8.812699663499295,-0.01450924348181104,32
2009,Group2,9.94832584105826,1.1674502485896212,8.78087559246864,-0.03182407103065543,33
2010,Group2,9.949277799241043,1.1754310188003922,8.773846780440651,-0.007028812027987996,34
2011,Group2,9.92190954297217,1.168560883711804,8.753348659260366,-0.020498121180285267,35
2012,Group2,9.913660143136536,1.1758272096799174,8.737832933456618,-0.015515725803748381,36
2013,Group2,9.9069011761765,1.1854779952942271,8.721423180882272,-0.016409752574345404,37
2014,Group2,9.90265066326605,1.192930072706674,8.709720590559375,-0.011702590322897777,38
2015,Group2,9.949727602366028,1.2165216211685692,8.73320598119746,0.023485390638084525,39
2016,Group2,9.953128604772964,1.2303730093728262,8.722755595400137,-0.010450385797321715,40
2017,Group2,9.961409726579562,1.2339158220643678,8.727493904515194,0.0047383091150567935,41
2018,Group2,9.987059807867642,1.2346616536316373,8.752398154236005,0.024904249720810512,42
2019,Group2,10.013290569367468,1.2421184175988096,8.771172151768658,0.018773997532653297,43
2020,Group2,10.027514376301246,1.2545785822752078,8.772935794026038,0.001763642257380127,44
2021,Group2,10.030644277054051,1.2287628673245719,8.801881409729479,0.028945615703440453,45
2022,Group2,10.02285109797664,1.1748738079692054,8.847977290007433,0.04609588027795475,46
2023,Group2,10.010147292350922,1.1583124075511855,8.851834884799736,0.003857594792302521,47
2024,Group2,10.043706151265498,1.1504155426346838,8.893290608630814,0.04145572383107776,48
1976,Group3,10.309890192921706,1.4212370746354555,8.888653118286252,,0
1977,Group3,10.319627736840117,1.4053358662308209,8.914291870609295,0.02563875232304369,1
1978,Group3,10.299273563244164,1.3837051287150068,8.915568434529156,0.0012765639198608625,2
1979,Group3,10.26328023348186,1.3309802715109509,8.932299961970909,0.016731527441752547,3
1980,Group3,10.224201595869555,1.25467755327468,8.969524042594875,0.037224080623966316,4
1981,Group3,10.210748560540662,1.2069414761214812,9.003807084419181,0.03428304182430608,5
1982,Group3,10.215926220624992,1.204709191447922,9.01121702917707,0.007409944757888809,6
1983,Group3,10.23291652535992,1.21744439668358,9.01547212867634,0.004255099499269832,7
1984,Group3,10.256483675550191,1.2223164776253483,9.034167197924843,0.01869506924850306,8
1985,Group3,10.26595650371792,1.2301418082165847,9.035814695501335,0.001647497576492185,9
1986,Group3,10.283318156874186,1.2488721789288717,9.034445977945314,-0.0013687175560210818,10
1987,Group3,10.295037084114554,1.2475973177244526,9.047439766390102,0.012993788444788379,11
1988,Group3,10.285913796215771,1.2513135123982402,9.03460028381753,-0.012839482572571725,12
1989,Group3,10.293247908809729,1.242204190431449,9.05104371837828,0.016443434560748926,13
1990,Group3,10.26335636880921,1.228032708537962,9.03532366027125,-0.015720058107030255,14
1991,Group3,10.24628306596956,1.2197818318507236,9.026501234118836,-0.008822426152413243,15
1992,Group3,10.246830547251257,1.2201386325999983,9.02669191465126,0.00019068053242321525,16
1993,Group3,10.272687828457723,1.2195122696693004,9.053175558788423,0.026483644137163864,17
1994,Group3,10.25534383308056,1.222838575736288,9.032505257344273,-0.020670301444150496,18
1995,Group3,10.268909717033369,1.2225242361934225,9.046385480839946,0.01388022349567386,19
1996,Group3,10.251123229552428,1.2170842674658826,9.034038962086546,-0.012346518753400204,20
1997,Group3,10.257761303011351,1.2134048492314777,9.044356453779873,0.01031749169332663,21
1998,Group3,10.279976332986966,1.2148068613909997,9.065169471595965,0.020813017816092128,22
1999,Group3,10.328967546475283,1.209194232960751,9.119773313514532,0.05460384191856704,23
2000,Group3,10.321435890388994,1.1912058542399875,9.130230036149007,0.010456722634474502,24
2001,Group3,10.32388640307873,1.179389015885697,9.144497387193033,0.0142673510440261,25
2002,Group3,10.340027702572732,1.1824217119160807,9.15760599065665,0.01310860346361764,26
2003,Group3,10.34168506390684,1.1812101589056503,9.160474905001191,0.0028689143445408405,27
2004,Group3,10.348708535030877,1.1750403774200744,9.173668157610802,0.013193252609610795,28
2005,Group3,10.323043562982576,1.1625476249962878,9.160495937986289,-0.013172219624513204,29
2006,Group3,10.334728611136487,1.1522893537193124,9.182439257417174,0.021943319430885566,30
2007,Group3,10.324307704817866,1.1457453087669454,9.17856239605092,-0.003876861366254758,31
2008,Group3,10.32513657262254,1.1349124980441936,9.190224074578346,0.011661678527426389,32
2009,Group3,10.328375396253351,1.1674502485896212,9.16092514766373,-0.02929892691461511,33
2010,Group3,10.329742413850692,1.1754310188003922,9.1543113950503,-0.00661375261343089,34
2011,Group3,10.298901046170377,1.168560883711804,9.130340162458573,-0.023971232591726732,35
2012,Group3,10.297866466551502,1.1758272096799174,9.122039256871584,-0.008300905586988705,36
2013,Group3,10.292352985011568,1.1854779952942271,9.10687498971734,-0.015164267154244016,37
2014,Group3,10.293347594922526,1.192930072706674,9.100417522215853,-0.006457467501487457,38
2015,Group3,10.352150779994629,1.2165216211685692,9.13562915882606,0.035211636610206654,39
2016,Group3,10.341318111969269,1.2303730093728262,9.110945102596443,-0.024684056229617113,40
2017,Group3,10.343567858154035,1.2339158220643678,9.109652036089667,-0.0012930665067756308,41
2018,Group3,10.347130707083284,1.2346616536316373,9.112469053451647,0.0028170173619805894,42
2019,Group3,10.387565401502597,1.2421184175988096,9.145446983903787,0.03297793045213915,43
2020,Group3,10.42833502869791,1.2545785822752078,9.173756446422702,0.02830946251891575,44
2021,Group3,10.409074071145298,1.2287628673245719,9.180311203820725,0.006554757398022915,45
2022,Group3,10.359947015684153,1.1748738079692054,9.185073207714947,0.004762003894221323,46
2023,Group3,10.365222119981066,1.1583124075511855,9.20690971242988,0.02183650471493337,47
2024,Group3,10.4105716687369,1.1504155426346838,9.260156126102215,0.05324641367233518,48
1976,Group4,10.613711474084424,1.4212370746354555,9.192474399448969,,0
1977,Group4,10.629322877635868,1.4053358662308209,9.223987011405047,0.03151261195607802,1
1978,Group4,10.621651734784562,1.3837051287150068,9.237946606069555,0.01395959466450769,2
1979,Group4,10.60831281010446,1.3309802715109509,9.277332538593509,0.03938593252395428,3
1980,Group4,10.545252067561592,1.25467755327468,9.290574514286911,0.013241975693402352,4
1981,Group4,10.524656267691254,1.2069414761214812,9.317714791569774,0.027140277282862613,5
1982,Group4,10.55671959211211,1.204709191447922,9.352010400664188,0.0342956090944142,6
1983,Group4,10.564994981019654,1.21744439668358,9.347550584336073,-0.004459816328115096,7
1984,Group4,10.591864663105351,1.2223164776253483,9.369548185480003,0.021997601143930012,8
1985,Group4,10.607056676709608,1.2301418082165847,9.376914868493023,0.007366683013019681,9
1986,Group4,10.627659804387116,1.2488721789288717,9.378787625458244,0.0018727569652217113,10
1987,Group4,10.634099033541425,1.2475973177244526,9.386501715816973,0.007714090358728498,11
1988,Group4,10.633559064553012,1.2513135123982402,9.382245552154771,-0.004256163662201828,12
1989,Group4,10.639462503673954,1.242204190431449,9.397258313242505,0.01501276108773375,13
1990,Group4,10.601076313613396,1.228032708537962,9.373043605075434,-0.024214708167070498,14
