YEAR,incgroup,y_t,Dy_t,Dy_t_lag1,Dy_t_lag2,log_div_t,ln_RLABINC_t
2001,Bottom50,8.492239391016737,0.031077187602855716,0.04337825426683395,0.004902374711139856,1.179389015885697,9.671628406902434
2002,Bottom50,8.52362156284679,0.031382171830053096,0.031077187602855716,0.04337825426683395,1.1824217119160807,9.706043274762871
2003,Bottom50,8.501205464893484,-0.02241609795330568,0.031382171830053096,0.031077187602855716,1.1812101589056503,9.682415623799134
2004,Bottom50,8.497695913189512,-0.003509551703972491,-0.02241609795330568,0.031382171830053096,1.1750403774200744,9.672736290609587
2005,Bottom50,8.51957155460109,0.021875641411577718,-0.003509551703972491,-0.02241609795330568,1.1625476249962878,9.682119179597377
2006,Bottom50,8.50969917789493,-0.009872376706159258,0.021875641411577718,-0.003509551703972491,1.1522893537193124,9.661988531614243
2007,Bottom50,8.545088275775369,0.035389097880438314,-0.009872376706159258,0.021875641411577718,1.1457453087669454,9.690833584542315
2008,Bottom50,8.56725385061886,0.022165574843491243,0.035389097880438314,-0.009872376706159258,1.1349124980441936,9.702166348663054
2009,Bottom50,8.526858629587286,-0.04039522103157367,0.022165574843491243,0.035389097880438314,1.1674502485896212,9.694308878176907
2010,Bottom50,8.501310252193484,-0.025548377393802113,-0.04039522103157367,0.022165574843491243,1.1754310188003922,9.676741270993876
2011,Bottom50,8.493267656789884,-0.008042595403599861,-0.025548377393802113,-0.04039522103157367,1.168560883711804,9.661828540501688
2012,Bottom50,8.517972972913812,0.0247053161239279,-0.008042595403599861,-0.025548377393802113,1.1758272096799174,9.69380018259373
2013,Bottom50,8.492852481581245,-0.025120491332566885,0.0247053161239279,-0.008042595403599861,1.1854779952942271,9.678330476875473
2014,Bottom50,8.477673257424037,-0.015179224157208182,-0.025120491332566885,0.0247053161239279,1.192930072706674,9.670603330130712
2015,Bottom50,8.453399849122514,-0.024273408301523247,-0.015179224157208182,-0.025120491332566885,1.2165216211685692,9.669921470291083
2016,Bottom50,8.47525425378063,0.021854404658116167,-0.024273408301523247,-0.015179224157208182,1.2303730093728262,9.705627263153456
2017,Bottom50,8.515413866892409,0.04015961311177918,0.021854404658116167,-0.024273408301523247,1.2339158220643678,9.749329688956777
2018,Bottom50,8.498803773523651,-0.016610093368758072,0.04015961311177918,0.021854404658116167,1.2346616536316373,9.733465427155288
2019,Bottom50,8.517243977108032,0.018440203584381365,-0.016610093368758072,0.04015961311177918,1.2421184175988096,9.759362394706843
2020,Bottom50,8.549891926632055,0.032647949524022835,0.018440203584381365,-0.016610093368758072,1.2545785822752078,9.804470508907263
2021,Bottom50,8.569964184029185,0.020072257397130144,0.032647949524022835,0.018440203584381365,1.2287628673245719,9.798727051353758
2022,Bottom50,8.576003395662271,0.006039211633085628,0.020072257397130144,0.032647949524022835,1.1748738079692054,9.750877203631477
2023,Bottom50,8.62035419784214,0.044350802179868865,0.006039211633085628,0.020072257397130144,1.1583124075511855,9.778666605393326
2024,Bottom50,8.67509652854811,0.05474233070597023,0.044350802179868865,0.006039211633085628,1.1504155426346838,9.825512071182795
1979,Middle40,9.286428005594031,0.03995609149144208,0.01954738854034943,-0.001926713354329479,1.3309802715109509,10.617408277104982
1980,Middle40,9.307934232871482,0.021506227277450662,0.03995609149144208,0.01954738854034943,1.25467755327468,10.562611786146162
1981,Middle40,9.341444273257324,0.03351004038584193,0.021506227277450662,0.03995609149144208,1.2069414761214812,10.548385749378804
1982,Middle40,9.34861119997709,0.007166926719765598,0.03351004038584193,0.021506227277450662,1.204709191447922,10.55332039142501
1983,Middle40,9.362467234486365,0.013856034509275972,0.007166926719765598,0.03351004038584193,1.21744439668358,10.579911631169946
1984,Middle40,9.36487991897496,0.002412684488595218,0.013856034509275972,0.007166926719765598,1.2223164776253483,10.587196396600309
1985,Middle40,9.388131713746066,0.02325179477110595,0.002412684488595218,0.013856034509275972,1.2301418082165847,10.618273521962651
1986,Middle40,9.38585633667569,-0.002275377070375839,0.02325179477110595,0.002412684488595218,1.2488721789288717,10.634728515604563
1987,Middle40,9.38158163694866,-0.004274699727030651,-0.002275377070375839,0.02325179477110595,1.2475973177244526,10.629178954673112
1988,Middle40,9.393566539743805,0.011984902795145302,-0.004274699727030651,-0.002275377070375839,1.2513135123982402,10.644880052142046
1989,Middle40,9.382596623605833,-0.010969916137971936,0.011984902795145302,-0.004274699727030651,1.242204190431449,10.624800814037282
1990,Middle40,9.387820980638764,0.005224357032931337,-0.010969916137971936,0.011984902795145302,1.228032708537962,10.615853689176726
1991,Middle40,9.37742987164956,-0.010391108989203701,0.005224357032931337,-0.010969916137971936,1.2197818318507236,10.597211703500285
1992,Middle40,9.388815806796632,0.011385935147071535,-0.010391108989203701,0.005224357032931337,1.2201386325999983,10.60895443939663
1993,Middle40,9.38775877323798,-0.001057033558652165,0.011385935147071535,-0.010391108989203701,1.2195122696693004,10.60727104290728
1994,Middle40,9.379935033578814,-0.007823739659166051,-0.001057033558652165,0.011385935147071535,1.222838575736288,10.602773609315102
1995,Middle40,9.400373054593395,0.0204380210145807,-0.007823739659166051,-0.001057033558652165,1.2225242361934225,10.622897290786817
1996,Middle40,9.388881524353724,-0.011491530239670311,0.0204380210145807,-0.007823739659166051,1.2170842674658826,10.605965791819607
1997,Middle40,9.40937586085031,0.020494336496586385,-0.011491530239670311,0.0204380210145807,1.2134048492314777,10.622780710081788
1998,Middle40,9.436558846257729,0.027182985407417704,0.020494336496586385,-0.011491530239670311,1.2148068613909997,10.65136570764873
1999,Middle40,9.452477210861062,0.0159183646033334,0.027182985407417704,0.020494336496586385,1.209194232960751,10.661671443821813
2000,Middle40,9.503750931337729,0.051273720476666895,0.0159183646033334,0.027182985407417704,1.1912058542399875,10.694956785577716
2001,Middle40,9.512152331644346,0.00840140030661729,0.051273720476666895,0.0159183646033334,1.179389015885697,10.691541347530043
2002,Middle40,9.53118925438266,0.019036922738314033,0.00840140030661729,0.051273720476666895,1.1824217119160807,10.713610966298742
2003,Middle40,9.517852316568234,-0.013336937814425909,0.019036922738314033,0.00840140030661729,1.1812101589056503,10.699062475473884
2004,Middle40,9.536702674312721,0.018850357744486956,-0.013336937814425909,0.019036922738314033,1.1750403774200744,10.711743051732796
2005,Middle40,9.55022892662925,0.013526252316529153,0.018850357744486956,-0.013336937814425909,1.1625476249962878,10.712776551625538
2006,Middle40,9.53930122017506,-0.010927706454189945,0.013526252316529153,0.018850357744486956,1.1522893537193124,10.691590573894374
2007,Middle40,9.550480934014868,0.011179713839807093,-0.010927706454189945,0.013526252316529153,1.1457453087669454,10.696226242781814
2008,Middle40,9.558977084024647,0.008496150009779768,0.011179713839807093,-0.010927706454189945,1.1349124980441936,10.693889582068842
2009,Middle40,9.536992530264886,-0.021984553759761383,0.008496150009779768,0.011179713839807093,1.1674502485896212,10.704442778854506
2010,Middle40,9.5167787764473,-0.020213753817586166,-0.021984553759761383,0.008496150009779768,1.1754310188003922,10.692209795247692
2011,Middle40,9.507211523649918,-0.009567252797381798,-0.020213753817586166,-0.021984553759761383,1.168560883711804,10.675772407361722
2012,Middle40,9.553010613233088,0.045799089583169916,-0.009567252797381798,-0.020213753817586166,1.1758272096799174,10.728837822913006
2013,Middle40,9.534364676102129,-0.018645937130958856,0.045799089583169916,-0.009567252797381798,1.1854779952942271,10.719842671396355
2014,Middle40,9.512330247350668,-0.022034428751460666,-0.018645937130958856,0.045799089583169916,1.192930072706674,10.705260320057343
2015,Middle40,9.487654590274747,-0.02467565707592101,-0.022034428751460666,-0.018645937130958856,1.2165216211685692,10.704176211443317
2016,Middle40,9.494538376378038,0.006883786103291101,-0.02467565707592101,-0.022034428751460666,1.2303730093728262,10.724911385750865
2017,Middle40,9.524835277923033,0.03029690154499498,0.006883786103291101,-0.02467565707592101,1.2339158220643678,10.758751099987402
2018,Middle40,9.513218669145731,-0.011616608777302417,0.03029690154499498,0.006883786103291101,1.2346616536316373,10.747880322777368
2019,Middle40,9.526720482267871,0.01350181312214005,-0.011616608777302417,0.03029690154499498,1.2421184175988096,10.768838899866681
2020,Middle40,9.553939868034837,0.027219385766965587,0.01350181312214005,-0.011616608777302417,1.2545785822752078,10.808518450310045
2021,Middle40,9.549537973188045,-0.004401894846791876,0.027219385766965587,0.01350181312214005,1.2287628673245719,10.778300840512616
2022,Middle40,9.561849722362174,0.01231174917412936,-0.004401894846791876,0.027219385766965587,1.1748738079692054,10.73672353033138
2023,Middle40,9.59816466167037,0.036314939308196514,0.01231174917412936,-0.004401894846791876,1.1583124075511855,10.756477069221557
2024,Middle40,9.6686121894816,0.0704475278112291,0.036314939308196514,0.01231174917412936,1.1504155426346838,10.819027732116284
1979,Top10,9.962623235519574,0.040200957092226375,0.08179567336672733,-0.007742117093451739,1.3309802715109509,11.293603507030525
1980,Top10,9.973990834432843,0.011367598913269106,0.040200957092226375,0.08179567336672733,1.25467755327468,11.228668387707524
1981,Top10,10.01666981245589,0.0426789780230461,0.011367598913269106,0.040200957092226375,1.2069414761214812,11.22361128857737
1982,Top10,9.976473037628262,-0.040196774827627735,0.0426789780230461,0.011367598913269106,1.204709191447922,11.181182229076184
1983,Top10,10.070910748863414,0.09443771123515177,-0.040196774827627735,0.0426789780230461,1.21744439668358,11.288355145546994
1984,Top10,10.057743399669823,-0.013167349193590638,0.09443771123515177,-0.040196774827627735,1.2223164776253483,11.280059877295171
1985,Top10,10.03278585948601,-0.02495754018381291,-0.013167349193590638,0.09443771123515177,1.2301418082165847,11.262927667702595
1986,Top10,10.066224111338995,0.03343825185298499,-0.02495754018381291,-0.013167349193590638,1.2488721789288717,11.315096290267867
1987,Top10,10.063508317789472,-0.0027157935495232266,0.03343825185298499,-0.02495754018381291,1.2475973177244526,11.311105635513924
1988,Top10,10.050142610536843,-0.013365707252628312,-0.0027157935495232266,0.03343825185298499,1.2513135123982402,11.301456122935084
1989,Top10,10.12163369249182,0.07149108195497611,-0.013365707252628312,-0.0027157935495232266,1.242204190431449,11.363837882923269
1990,Top10,10.13155672637713,0.009923033885311128,0.07149108195497611,-0.013365707252628312,1.228032708537962,11.359589434915092
1991,Top10,10.097560988073816,-0.03399573830331448,0.009923033885311128,0.07149108195497611,1.2197818318507236,11.317342819924539
1992,Top10,10.118756439385132,0.02119545131131595,-0.03399573830331448,0.009923033885311128,1.2201386325999983,11.33889507198513
1993,Top10,10.1081247205319,-0.010631718853232996,0.02119545131131595,-0.03399573830331448,1.2195122696693004,11.3276369902012
1994,Top10,10.12393025263204,0.01580553210014024,-0.010631718853232996,0.02119545131131595,1.222838575736288,11.346768828368328
1995,Top10,10.129346086878936,0.0054158342468966225,0.01580553210014024,-0.010631718853232996,1.2225242361934225,11.351870323072358
1996,Top10,10.132517052919612,0.0031709660406757934,0.0054158342468966225,0.01580553210014024,1.2170842674658826,11.349601320385494
1997,Top10,10.172123217090693,0.039606164171081204,0.0031709660406757934,0.0054158342468966225,1.2134048492314777,11.385528066322172
1998,Top10,10.201934110107764,0.029810893017071294,0.039606164171081204,0.0031709660406757934,1.2148068613909997,11.416740971498763
1999,Top10,10.309996427586098,0.10806231747833372,0.029810893017071294,0.039606164171081204,1.209194232960751,11.51919066054685
2000,Top10,10.363625851555227,0.053629423969129064,0.10806231747833372,0.029810893017071294,1.1912058542399875,11.554831705795214
2001,Top10,10.426696533085892,0.06307068153066453,0.053629423969129064,0.10806231747833372,1.179389015885697,11.606085548971588
2002,Top10,10.439226048344503,0.012529515258611568,0.06307068153066453,0.053629423969129064,1.1824217119160807,11.621647760260585
2003,Top10,10.328407700457072,-0.11081834788743095,0.012529515258611568,0.06307068153066453,1.1812101589056503,11.509617859362722
2004,Top10,10.351470767534275,0.02306306707720296,-0.11081834788743095,0.012529515258611568,1.1750403774200744,11.52651114495435
2005,Top10,10.32649876759465,-0.024971999939625178,0.02306306707720296,-0.11081834788743095,1.1625476249962878,11.489046392590938
2006,Top10,10.345172119053764,0.018673351459113974,-0.024971999939625178,0.02306306707720296,1.1522893537193124,11.497461472773077
2007,Top10,10.377599530991874,0.032427411938110495,0.018673351459113974,-0.024971999939625178,1.1457453087669454,11.52334483975882
2008,Top10,10.368197149388976,-0.009402381602898302,0.032427411938110495,0.018673351459113974,1.1349124980441936,11.50310964743317
2009,Top10,10.432026931500491,0.06382978211151524,-0.009402381602898302,0.032427411938110495,1.1674502485896212,11.599477180090112
2010,Top10,10.416674182921758,-0.015352748578733255,0.06382978211151524,-0.009402381602898302,1.1754310188003922,11.59210520172215
2011,Top10,10.326421909658409,-0.09025227326334928,-0.015352748578733255,0.06382978211151524,1.168560883711804,11.494982793370212
2012,Top10,10.383847792879006,0.057425883220597385,-0.09025227326334928,-0.015352748578733255,1.1758272096799174,11.559675002558924
2013,Top10,10.358156267200755,-0.02569152567825128,0.057425883220597385,-0.09025227326334928,1.1854779952942271,11.543634262494981
